"---","Name","Description","Instructions","TrainingPhrases","DistractorPhrases","StarThresholds","Map","TimeLimit"
13,"Veggies 2","Pick up mystery food and sort it into the correct bag","Pick up the mystery food items as they drop down from the back of the store. When you do, you'll feel vibrations telling you what the food is. Put the food into the correct grocery bag to gain more points, but if you put the food in the wrong bag and you'll lose points.","(""olive"",""vegetable"",""pumpkin"")",,"(100,200,300)",,180
14,"Veggies 3","Pick up mystery food and sort it into the correct bag","Pick up the mystery food items as they drop down from the back of the store. When you do, you'll feel vibrations telling you what the food is. Put the food into the correct grocery bag to gain more points, but if you put the food in the wrong bag and you'll lose points.","(""artichoke"",""salad"",""tomato"")",,"(100,200,300)",,180
15,"Veggies 4","Pick up mystery food and sort it into the correct bag","Pick up the mystery food items as they drop down from the back of the store. When you do, you'll feel vibrations telling you what the food is. Put the food into the correct grocery bag to gain more points, but if you put the food in the wrong bag and you'll lose points.","(""radish"",""eggplant"",""avocado"")",,"(100,200,300)",,180
16,"Veggies 5","Pick up mystery food and sort it into the correct bag","Pick up the mystery food items as they drop down from the back of the store. When you do, you'll feel vibrations telling you what the food is. Put the food into the correct grocery bag to gain more points, but if you put the food in the wrong bag and you'll lose points.","(""asparagus"",""pea"",""cucumber"")",,"(100,200,300)",,180
17,"Veggies 6","Pick up mystery food and sort it into the correct bag","Pick up the mystery food items as they drop down from the back of the store. When you do, you'll feel vibrations telling you what the food is. Put the food into the correct grocery bag to gain more points, but if you put the food in the wrong bag and you'll lose points.","(""garlic"",""cabbage"",""yam"")",,"(100,200,300)",,180
18,"Fruits 1","Pick up mystery food and sort it into the correct bag","Pick up the mystery food items as they drop down from the back of the store. When you do, you'll feel vibrations telling you what the food is. Put the food into the correct grocery bag to gain more points, but if you put the food in the wrong bag and you'll lose points.","(""guava"",""berry"")",,"(100,200,300)",,180
19,"Fruits 2","Pick up mystery food and sort it into the correct bag","Pick up the mystery food items as they drop down from the back of the store. When you do, you'll feel vibrations telling you what the food is. Put the food into the correct grocery bag to gain more points, but if you put the food in the wrong bag and you'll lose points.","(""melon"",""fig"",""grapefruit"")",,"(100,200,300)",,180
20,"Fruits 3","Pick up mystery food and sort it into the correct bag","Pick up the mystery food items as they drop down from the back of the store. When you do, you'll feel vibrations telling you what the food is. Put the food into the correct grocery bag to gain more points, but if you put the food in the wrong bag and you'll lose points.","(""lemon"",""orange"",""date"")",,"(100,200,300)",,180
21,"Fruits 4","Pick up mystery food and sort it into the correct bag","Pick up the mystery food items as they drop down from the back of the store. When you do, you'll feel vibrations telling you what the food is. Put the food into the correct grocery bag to gain more points, but if you put the food in the wrong bag and you'll lose points.","(""fruit"",""kumquat"",""banana"",""jelly"")",,"(100,200,300)",,180
22,"Fruits 5","Pick up mystery food and sort it into the correct bag","Pick up the mystery food items as they drop down from the back of the store. When you do, you'll feel vibrations telling you what the food is. Put the food into the correct grocery bag to gain more points, but if you put the food in the wrong bag and you'll lose points.","(""strawberry"",""apricot"",""pear"",""jam"")",,"(100,200,300)",,180
23,"Fruits 6","Pick up mystery food and sort it into the correct bag","Pick up the mystery food items as they drop down from the back of the store. When you do, you'll feel vibrations telling you what the food is. Put the food into the correct grocery bag to gain more points, but if you put the food in the wrong bag and you'll lose points.","(""apple"",""peach"",""grape"",""kiwi"")",,"(100,200,300)",,180
24,"Fruits 7","Pick up mystery food and sort it into the correct bag","Pick up the mystery food items as they drop down from the back of the store. When you do, you'll feel vibrations telling you what the food is. Put the food into the correct grocery bag to gain more points, but if you put the food in the wrong bag and you'll lose points.","(""mango"",""jello"",""raisin"",""watermelon"")",,"(100,200,300)",,180
25,"Grains 1","Pick up mystery food and sort it into the correct bag","Pick up the mystery food items as they drop down from the back of the store. When you do, you'll feel vibrations telling you what the food is. Put the food into the correct grocery bag to gain more points, but if you put the food in the wrong bag and you'll lose points.","(""oatmeal"",""beans"",""bread"")",,"(100,200,300)",,180
26,"Grains 2","Pick up mystery food and sort it into the correct bag","Pick up the mystery food items as they drop down from the back of the store. When you do, you'll feel vibrations telling you what the food is. Put the food into the correct grocery bag to gain more points, but if you put the food in the wrong bag and you'll lose points.","(""barley"",""nut"",""wheat"")",,"(100,200,300)",,180
27,"Grains 3","Pick up mystery food and sort it into the correct bag","Pick up the mystery food items as they drop down from the back of the store. When you do, you'll feel vibrations telling you what the food is. Put the food into the correct grocery bag to gain more points, but if you put the food in the wrong bag and you'll lose points.","(""englishmuffin"",""cashew"",""yeast"")",,"(100,200,300)",,180
28,"Grains 4","Pick up mystery food and sort it into the correct bag","Pick up the mystery food items as they drop down from the back of the store. When you do, you'll feel vibrations telling you what the food is. Put the food into the correct grocery bag to gain more points, but if you put the food in the wrong bag and you'll lose points.","(""oatmeal"",""barley"",""englishmuffin"")",,"(100,200,300)",,180
29,"Grains 5","Pick up mystery food and sort it into the correct bag","Pick up the mystery food items as they drop down from the back of the store. When you do, you'll feel vibrations telling you what the food is. Put the food into the correct grocery bag to gain more points, but if you put the food in the wrong bag and you'll lose points.","(""beans"",""nut"",""cashew"")",,"(100,200,300)",,180
30,"Grains 6","Pick up mystery food and sort it into the correct bag","Pick up the mystery food items as they drop down from the back of the store. When you do, you'll feel vibrations telling you what the food is. Put the food into the correct grocery bag to gain more points, but if you put the food in the wrong bag and you'll lose points.","(""bread"",""wheat"",""yeast"")",,"(100,200,300)",,180
31,"Entrees 1","Pick up mystery food and sort it into the correct bag","Pick up the mystery food items as they drop down from the back of the store. When you do, you'll feel vibrations telling you what the food is. Put the food into the correct grocery bag to gain more points, but if you put the food in the wrong bag and you'll lose points.","(""chili"",""macaroni"")",,"(100,200,300)",,180
32,"Entrees 2","Pick up mystery food and sort it into the correct bag","Pick up the mystery food items as they drop down from the back of the store. When you do, you'll feel vibrations telling you what the food is. Put the food into the correct grocery bag to gain more points, but if you put the food in the wrong bag and you'll lose points.","(""hotdog"",""kabob"")",,"(100,200,300)",,180
33,"Entrees 3","Pick up mystery food and sort it into the correct bag","Pick up the mystery food items as they drop down from the back of the store. When you do, you'll feel vibrations telling you what the food is. Put the food into the correct grocery bag to gain more points, but if you put the food in the wrong bag and you'll lose points.","(""noodle"",""spaghetti"",""ravioli"")",,"(100,200,300)",,180
34,"Entrees 4","Pick up mystery food and sort it into the correct bag","Pick up the mystery food items as they drop down from the back of the store. When you do, you'll feel vibrations telling you what the food is. Put the food into the correct grocery bag to gain more points, but if you put the food in the wrong bag and you'll lose points.","(""soup"",""lasagna"",""taco"")",,"(100,200,300)",,180
35,"Entrees 5","Pick up mystery food and sort it into the correct bag","Pick up the mystery food items as they drop down from the back of the store. When you do, you'll feel vibrations telling you what the food is. Put the food into the correct grocery bag to gain more points, but if you put the food in the wrong bag and you'll lose points.","(""chili"",""hotdog"",""noodle"",""soup"")",,"(100,200,300)",,180
36,"Entrees 6","Pick up mystery food and sort it into the correct bag","Pick up the mystery food items as they drop down from the back of the store. When you do, you'll feel vibrations telling you what the food is. Put the food into the correct grocery bag to gain more points, but if you put the food in the wrong bag and you'll lose points.","(""macaroni"",""kabob"",""spaghetti"",""lasagna"")",,"(100,200,300)",,180
37,"Spices 1","Pick up mystery food and sort it into the correct bag","Pick up the mystery food items as they drop down from the back of the store. When you do, you'll feel vibrations telling you what the food is. Put the food into the correct grocery bag to gain more points, but if you put the food in the wrong bag and you'll lose points.","(""sugar"",""mint"")",,"(100,200,300)",,180
38,"Spices 2","Pick up mystery food and sort it into the correct bag","Pick up the mystery food items as they drop down from the back of the store. When you do, you'll feel vibrations telling you what the food is. Put the food into the correct grocery bag to gain more points, but if you put the food in the wrong bag and you'll lose points.","(""salt"",""garlic"")",,"(100,200,300)",,180
39,"Spices 3","Pick up mystery food and sort it into the correct bag","Pick up the mystery food items as they drop down from the back of the store. When you do, you'll feel vibrations telling you what the food is. Put the food into the correct grocery bag to gain more points, but if you put the food in the wrong bag and you'll lose points.","(""nutmeg"",""pepper"",""dill"")",,"(100,200,300)",,180
40,"Spices 4","Pick up mystery food and sort it into the correct bag","Pick up the mystery food items as they drop down from the back of the store. When you do, you'll feel vibrations telling you what the food is. Put the food into the correct grocery bag to gain more points, but if you put the food in the wrong bag and you'll lose points.","(""vanilla"",""fennel"",""vinegar"")",,"(100,200,300)",,180
41,"Spices 5","Pick up mystery food and sort it into the correct bag","Pick up the mystery food items as they drop down from the back of the store. When you do, you'll feel vibrations telling you what the food is. Put the food into the correct grocery bag to gain more points, but if you put the food in the wrong bag and you'll lose points.","(""sugar"",""salt"",""nutmeg"",""vanilla"")",,"(100,200,300)",,180
42,"Spices 6","Pick up mystery food and sort it into the correct bag","Pick up the mystery food items as they drop down from the back of the store. When you do, you'll feel vibrations telling you what the food is. Put the food into the correct grocery bag to gain more points, but if you put the food in the wrong bag and you'll lose points.","(""mint"",""garlic"",""pepper"",""fennel"")",,"(100,200,300)",,180
43,"Breakfast 1","Pick up mystery food and sort it into the correct bag","Pick up the mystery food items as they drop down from the back of the store. When you do, you'll feel vibrations telling you what the food is. Put the food into the correct grocery bag to gain more points, but if you put the food in the wrong bag and you'll lose points.","(""oatmeal"",""tea"")",,"(100,200,300)",,180
44,"Breakfast 2","Pick up mystery food and sort it into the correct bag","Pick up the mystery food items as they drop down from the back of the store. When you do, you'll feel vibrations telling you what the food is. Put the food into the correct grocery bag to gain more points, but if you put the food in the wrong bag and you'll lose points.","(""grapefruit"",""orange"",""waffle"")",,"(100,200,300)",,180
45,"Breakfast 3","Pick up mystery food and sort it into the correct bag","Pick up the mystery food items as they drop down from the back of the store. When you do, you'll feel vibrations telling you what the food is. Put the food into the correct grocery bag to gain more points, but if you put the food in the wrong bag and you'll lose points.","(""milk"",""englishmuffin"",""coffee"")",,"(100,200,300)",,180
46,"Breakfast 4","Pick up mystery food and sort it into the correct bag","Pick up the mystery food items as they drop down from the back of the store. When you do, you'll feel vibrations telling you what the food is. Put the food into the correct grocery bag to gain more points, but if you put the food in the wrong bag and you'll lose points.","(""jelly"",""espresso"",""fruit"",""yogurt"")",,"(100,200,300)",,180
47,"Breakfast 5","Pick up mystery food and sort it into the correct bag","Pick up the mystery food items as they drop down from the back of the store. When you do, you'll feel vibrations telling you what the food is. Put the food into the correct grocery bag to gain more points, but if you put the food in the wrong bag and you'll lose points.","(""oatmeal"",""grapefruit"",""milk"",""jelly"")",,"(100,200,300)",,180
48,"Breakfast 6","Pick up mystery food and sort it into the correct bag","Pick up the mystery food items as they drop down from the back of the store. When you do, you'll feel vibrations telling you what the food is. Put the food into the correct grocery bag to gain more points, but if you put the food in the wrong bag and you'll lose points.","(""tea"",""orange"",""englishmuffin"",""espresso"")",,"(100,200,300)",,180
